Sim,Tipo,Cluster,gNB,TX_dBm,UEs,Energia_W,Throughput_Mbps,Energia_J,Eficiencia_Mbps_por_J
toy2,DRAN,-,4,20,10,121.0,31.25,121.0,0.25826446280991733
toy2,DRAN,-,7,20,10,121.0,31.25,121.0,0.25826446280991733
toy2,DRAN,-,10,20,10,121.0,31.25,121.0,0.25826446280991733
toy2,CLUSTER,C1,5,20,10,47.0,36.875,47.0,0.7845744680851063
toy2,CLUSTER,C1,6,20,10,47.0,36.875,47.0,0.7845744680851063
toy2,CU_CLUSTER,C1,CU_1,20,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C2,8,20,10,47.0,36.875,47.0,0.7845744680851063
toy2,CLUSTER,C2,9,20,10,47.0,36.875,47.0,0.7845744680851063
toy2,CU_CLUSTER,C2,CU_2,20,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C3,11,20,10,47.0,36.875,47.0,0.7845744680851063
toy2,CLUSTER,C3,12,20,10,47.0,36.875,47.0,0.7845744680851063
toy2,CU_CLUSTER,C3,CU_3,20,20,120.0,0.0,120.0,0.0
toy2,DRAN,-,4,23,10,123.4,35.9375,123.4,0.29122771474878445
toy2,DRAN,-,7,23,10,123.4,35.9375,123.4,0.29122771474878445
toy2,DRAN,-,10,23,10,123.4,35.9375,123.4,0.29122771474878445
toy2,CLUSTER,C1,5,23,10,49.400000000000006,42.40625,49.400000000000006,0.8584261133603238
toy2,CLUSTER,C1,6,23,10,49.400000000000006,42.40625,49.400000000000006,0.8584261133603238
toy2,CU_CLUSTER,C1,CU_1,23,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C2,8,23,10,49.400000000000006,42.40625,49.400000000000006,0.8584261133603238
toy2,CLUSTER,C2,9,23,10,49.400000000000006,42.40625,49.400000000000006,0.8584261133603238
toy2,CU_CLUSTER,C2,CU_2,23,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C3,11,23,10,49.400000000000006,42.40625,49.400000000000006,0.8584261133603238
toy2,CLUSTER,C3,12,23,10,49.400000000000006,42.40625,49.400000000000006,0.8584261133603238
toy2,CU_CLUSTER,C3,CU_3,23,20,120.0,0.0,120.0,0.0
toy2,DRAN,-,4,26,10,125.8,40.625,125.8,0.3229332273449921
toy2,DRAN,-,7,26,10,125.8,40.625,125.8,0.3229332273449921
toy2,DRAN,-,10,26,10,125.8,40.625,125.8,0.3229332273449921
toy2,CLUSTER,C1,5,26,10,51.8,47.9375,51.8,0.925434362934363
toy2,CLUSTER,C1,6,26,10,51.8,47.9375,51.8,0.925434362934363
toy2,CU_CLUSTER,C1,CU_1,26,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C2,8,26,10,51.8,47.9375,51.8,0.925434362934363
toy2,CLUSTER,C2,9,26,10,51.8,47.9375,51.8,0.925434362934363
toy2,CU_CLUSTER,C2,CU_2,26,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C3,11,26,10,51.8,47.9375,51.8,0.925434362934363
toy2,CLUSTER,C3,12,26,10,51.8,47.9375,51.8,0.925434362934363
toy2,CU_CLUSTER,C3,CU_3,26,20,120.0,0.0,120.0,0.0
toy2,DRAN,-,4,29,10,128.2,45.3125,128.2,0.35345163806552266
toy2,DRAN,-,7,29,10,128.2,45.3125,128.2,0.35345163806552266
toy2,DRAN,-,10,29,10,128.2,45.3125,128.2,0.35345163806552266
toy2,CLUSTER,C1,5,29,10,54.2,53.46875,54.2,0.9865083025830258
toy2,CLUSTER,C1,6,29,10,54.2,53.46875,54.2,0.9865083025830258
toy2,CU_CLUSTER,C1,CU_1,29,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C2,8,29,10,54.2,53.46875,54.2,0.9865083025830258
toy2,CLUSTER,C2,9,29,10,54.2,53.46875,54.2,0.9865083025830258
toy2,CU_CLUSTER,C2,CU_2,29,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C3,11,29,10,54.2,53.46875,54.2,0.9865083025830258
toy2,CLUSTER,C3,12,29,10,54.2,53.46875,54.2,0.9865083025830258
toy2,CU_CLUSTER,C3,CU_3,29,20,120.0,0.0,120.0,0.0
toy2,DRAN,-,4,32,10,130.6,50.0,130.6,0.38284839203675347
toy2,DRAN,-,7,32,10,130.6,50.0,130.6,0.38284839203675347
toy2,DRAN,-,10,32,10,130.6,50.0,130.6,0.38284839203675347
toy2,CLUSTER,C1,5,32,10,56.6,59.0,56.6,1.0424028268551238
toy2,CLUSTER,C1,6,32,10,56.6,59.0,56.6,1.0424028268551238
toy2,CU_CLUSTER,C1,CU_1,32,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C2,8,32,10,56.6,59.0,56.6,1.0424028268551238
toy2,CLUSTER,C2,9,32,10,56.6,59.0,56.6,1.0424028268551238
toy2,CU_CLUSTER,C2,CU_2,32,20,120.0,0.0,120.0,0.0
toy2,CLUSTER,C3,11,32,10,56.6,59.0,56.6,1.0424028268551238
toy2,CLUSTER,C3,12,32,10,56.6,59.0,56.6,1.0424028268551238
toy2,CU_CLUSTER,C3,CU_3,32,20,120.0,0.0,120.0,0.0
