Cenário,Potência (dBm),Potência Tx (W),P_idle (W),P_proc (W),P_UE (W),P_TxComp (W),P_gNB (W),Energia (J),Throughput (Mbps),Eficiência (bits/J),UEs
Configuração 1,5,0.0031622776601683794,100.0,2.5,5.0,0.0031622776601683794,107.50316227766017,2150.063245553203,20.0,186041.03894491788,10
Configuração 1,10,0.01,100.0,2.5,5.0,0.01,107.51,2150.2000000000003,34.55209229618201,321384.91578627116,10
Configuração 1,15,0.03162277660168379,100.0,2.5,5.0,0.03162277660168379,107.53162277660168,2150.6324555320334,45.574794755754034,423826.903927938,10
Configuração 1,20,0.1,100.0,2.5,5.0,0.1,107.6,2152.0,53.924107489575306,501153.41533062555,10
Configuração 1,25,0.31622776601683794,100.0,2.5,5.0,0.31622776601683794,107.81622776601684,2156.324555320337,60.24842073152566,558806.6099129065,10
Configuração 1,30,1.0,100.0,2.5,5.0,1.0,108.5,2170.0,65.03886747336222,599436.566574767,10
Configuração 1,35,3.1622776601683795,100.0,2.5,5.0,3.1622776601683795,110.66227766016839,2213.2455532033678,68.6674638297463,620513.7403787809,10
Configuração 1,40,10.0,100.0,2.5,5.0,10.0,117.5,2350.0,71.4159990347355,607795.7364658341,10
Configuração 1,45,31.622776601683793,100.0,2.5,5.0,31.622776601683793,139.1227766016838,2782.455532033676,73.49791860668626,528295.3690402173,10
Configuração 1,50,100.0,100.0,2.5,5.0,100.0,207.5,4150.0,75.07490008256607,361806.7473858606,10
Configuração 1,55,316.2277660168379,100.0,2.5,5.0,316.2277660168379,423.7277660168379,8474.555320336758,76.26940855867302,179996.24918524284,10
Configuração 1,60,1000.0,100.0,2.5,5.0,1000.0,1107.5,22150.0,77.17420707489863,69683.25695250441,10
