Sim,Tipo,Cluster,gNB,TX_dBm,UEs,Energia_W,Throughput_Mbps,Energia_J,Eficiencia_Mbps_por_J
toy1,DRAN,-,4,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,5,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,6,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,7,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,8,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,9,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,10,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,11,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,12,20.0,10,121.0,31.25,121.0,0.25826446280991733
toy1,DRAN,-,4,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,5,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,6,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,7,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,8,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,9,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,10,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,11,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,12,23.0,10,123.4,35.9375,123.4,0.29122771474878445
toy1,DRAN,-,4,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,5,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,6,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,7,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,8,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,9,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,10,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,11,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,12,26.0,10,125.8,40.625,125.8,0.3229332273449921
toy1,DRAN,-,4,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,5,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,6,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,7,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,8,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,9,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,10,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,11,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,12,29.0,10,128.2,45.3125,128.2,0.35345163806552266
toy1,DRAN,-,4,32.0,10,130.6,50.0,130.6,0.38284839203675347
toy1,DRAN,-,5,32.0,10,130.6,50.0,130.6,0.38284839203675347
toy1,DRAN,-,6,32.0,10,130.6,50.0,130.6,0.38284839203675347
toy1,DRAN,-,7,32.0,10,130.6,50.0,130.6,0.38284839203675347
toy1,DRAN,-,8,32.0,10,130.6,50.0,130.6,0.38284839203675347
toy1,DRAN,-,9,32.0,10,130.6,50.0,130.6,0.38284839203675347
toy1,DRAN,-,10,32.0,10,130.6,50.0,130.6,0.38284839203675347
toy1,DRAN,-,11,32.0,10,130.6,50.0,130.6,0.38284839203675347
toy1,DRAN,-,12,32.0,10,130.6,50.0,130.6,0.38284839203675347
